region,district,nom
Nord,Lagdo,CSI Bame
Nord,Lagdo,CSI Djoulol Bocki
Nord,Lagdo,CSI Bocki
Nord,Lagdo,CSI Kate
Nord,Lagdo,CSI Dingale
Nord,Lagdo,HD Lagdo
Nord,Lagdo,CS Islamique
Nord,Lagdo,CSI Communautaire
Nord,Lagdo,CSI de Badjaoule
Nord,Lagdo,CSI Djipporde
Nord,Lagdo,CSI Lagdo Urbain
Nord,Lagdo,CMA Gouna (Ex CSI)
Nord,Lagdo,CSI Djamboutou Gouna
Nord,Lagdo,CSI Zera
Nord,Lagdo,CSI Djanga
Nord,Lagdo,CSI de la Zone de Recasement
Nord,Lagdo,CSI Gounougou
Nord,Lagdo,CSI Lamoudam
Nord,Lagdo,CSI Naari
Nord,Lagdo,CSI Ouro Kessoum
Nord,Lagdo,CSI Tongo
Nord,Mayo Oulo,CSI Bossoum
Nord,Mayo Oulo,CSI Doumo (PSF)
Nord,Mayo Oulo,CSI Dourbeye
Nord,Mayo Oulo,CSI Goloza
Nord,Mayo Oulo,CSI Guirviza (PSF)
Nord,Mayo Oulo,CSI Mandama
Nord,Mayo Oulo,CSI Douzen
Nord,Mayo Oulo,HD Mayo Oulo
Nord,Mayo Oulo,CMM 43° BIM
Nord,Mayo Oulo,CSI Mayo Oulo
Nord,Mayo Oulo,CSI Mouroum
Nord,Mayo Oulo,CSI Pologozom
Nord,Mayo Oulo,CSI Wafo
Nord,Ngong,CSI De Babla
Nord,Ngong,CSI De Kismatari
Nord,Ngong,CSI Borongo
Nord,Ngong,CSI De Badang
Nord,Ngong,CSI DOUNDEHI
Nord,Ngong,CSI De Boumedje
Nord,Ngong,Centre Hospitalier Régional (CHR) Garoua
Nord,Ngong,CMA Bockle
Nord,Ngong,CSI De Djalingo
Nord,Ngong,CSI Haigadjewa
Nord,Ngong,CSI Kaoutal
Nord,Ngong,CSI De Djefatou
Nord,Ngong,CSI De Karewa
Nord,Ngong,CSI De Lainde Tchitta
Nord,Ngong,CSI De Mbaga
Nord,Ngong,CSI Lainde Massa
Nord,Ngong,CSI Ndjola
Nord,Ngong,HD de Ngong
Nord,Ngong,CS Angélique le Sourd de Ngong
Nord,Ngong,CS Jesus Sauve et Guerit de Ngong
Nord,Ngong,CS la Confiance Barmari de Ngong
Nord,Ngong,CSI de Adamaoua
Nord,Ngong,CSI De Ngong
Nord,Ngong,CSI de Winde-Ngong
Nord,Ngong,Infirmerie Sodecoton de Ngong
Nord,Ngong,CSI Sanguere Ngal
